T_K,P_bar,abund_H_dex,abund_O_dex,abund_C_dex,abund_N_dex,abund_S_dex,e-,H,O,C,N,S,C1H1,C1H1N1_1,C1H1N1_2,C1H1N1O1,C1H1O1,C1H2,C1H2O1,C1H3,C1H4,C1H4O2,C1N1,C1N1O1,C1N2_cnn,C1N2_ncn,C1O1,C1O1S1,C1O2,C1S1,C1S2,C2,C2H1,C2H2,C2H2O2,C2H2O4,C2H4,C2H4O1,C2H4O3,C2H6O2,C2N1,C2N1O1,C2N2,C2O1,C3,C3H1,C3N2O1,C3O2,C4,C4H6O4,C4N2,C5,H1N1,H1N1O1,H1N1O2cis,H1N1O2trans,H1N1O3,H1O1,H1O2,H1S1,H2,H2N1,H2N2,H2O1,H2O2,H2O4S1,H2S1,H3N1,H4N2,N1O1,N1O2,N1O3,N1S1,N2,N2O1,N2O3,N2O4,N2O5,N3,O1S1,O1S2,O2,O2S1,O3,O3S1,S2,S3,S4,S5,S6,S7,S8,C1+,C1-,C1H1+,C1H1-,C1H1O1+,C1N1+,C1N1-,C1O2-,C2-,H1+,H1-,H1O1+,H1O1-,H1S1-,H2+,H2-,H3O1+,N1+,N1-,N1O1+,N1O2-,N2+,N2-,N2O1+,O1+,O1-,O2+,O2-,S1+,S1-,comp_H,comp_O,comp_C,comp_N,comp_S,group_index,point_index,sample_MAE
1425.777015451068,17388.968694542815,12.00003211681388,18.091916057258047,15.248470431148498,13.673691906295,18.012206600159505,0.2048719424067045,4.344944812182984,2821767428337747.0,4.305974547367629e-17,64229.95521912656,2.0020007065244675e+17,7.7218361175474e-28,5.834885330371525e-15,9.437228539985326e-17,3.087221166604492e-07,1.7543569330538355e-08,3.2593091452181675e-36,1.3523027613979838e-19,5.851199869583164e-44,4.4430854647620275e-53,2.1413802668482348e-51,1.7489768689010802e-09,1.546131439257037,3.6847572469648225e-18,2.8312422476653233e-14,9955046379538.725,4200022386303937.0,2.629170811106162e+21,79.2261266009855,1593806798.566375,1.3720404252376613e-36,1.2322914946953896e-39,3.2143102938470096e-47,5.3165594129447704e-33,5.1715237480279266e-17,2.756144647169589e-73,4.6934329905617775e-71,1.4506526620917909e-52,1.1752580390083616e-100,1.8564158566818338e-29,3.0846815319185644e-17,1.0011726844155025e-24,1.4737318857441816e-17,8.301431569052041e-52,7.303201863103219e-58,6.527924925871025e-39,2.2119146791749297e-21,1.0034388781481717e-74,1.179538461061376e-122,9.107163724609156e-65,1.4597564812726998e-91,7.676015763558133e-07,300.1128796209882,52460551.314024344,64233193.49614853,98987453.15153132,58378136.67441676,336214666.46070594,13226600.974355971,7.810067691985669e-08,1.3606788452717967e-16,3.717446109338501e-21,46.780800465895965,0.0024931330319246,7.419099060577075e+17,0.0010095427469406,1.1934684653482672e-24,1.3278123780114926e-48,6.919162857952552e+18,3.901199411497843e+19,1.6501643088328788e+16,825107774394038.9,1.2020314805908027e+19,661028880754769.1,90044125224468.94,65211257930830.81,28266809467720.156,10.978516429945325,8.833624486439707e+22,8.833624486439707e+22,8.833624486439707e+22,8.833624486439707e+22,4.854756338159483e+17,8.833624486439707e+22,8.833624486439707e+22,8.833624486439707e+22,8.833624486439707e+22,8.833624486439707e+22,8.833624486439707e+22,8.833624486439707e+22,8.833624486439707e+22,5.6439039060272855e-36,4.513684371270717e-34,6.130091672030813e-45,2.0337477614979915e-43,4.395478690272181e-17,1.2324006590066535e-37,1.881479590593587e-17,1502.685983467626,6.707331598246979e-44,2.3457532418848817e-27,7.939584908564941e-19,1.65734685695303e-18,3.331643480729661e-08,4.7201817655680914e-07,1.3479882704653182e-40,5.326973745500631e-37,2.4774632987863343e-24,7.034190482134014e-26,6.241707475418518e-17,3207474.7469439795,5998742.445841461,2.6875638904942718e-15,1.0180491252928205e-07,1.4129462506136603e-09,1.2451649349459392e-12,0.2204677599014523,229.82547255162683,45483.45522031581,32.16944438051704,2398.4707283533753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9639416710563793e+22
1453.9136641762066,16843.4406505904,12.000998701630255,18.07135653554987,15.270042042316678,13.6652855803675,18.008952378657952,0.5197818481040458,12.683320808353647,4051429952516583.0,2.9193623858756615e-16,134872.90157283976,2.743685775515236e+17,8.779103537259436e-27,3.072135013452266e-14,5.463424630012893e-16,1.0654975710383786e-06,7.79170014907161e-08,5.406470266222005e-35,9.47686680260764e-19,1.3426787787611569e-42,1.4501295095564352e-51,5.960406976019108e-50,7.2850260793352925e-09,3.9944712511181906,1.9334041207755217e-17,1.2438233749777408e-13,16739761364214.928,5996807817343730.0,2.702098231527082e+21,230.55015905533668,3159848402.289689,2.4116178649080675e-35,2.461335204841597e-38,8.810529933840737e-46,6.72925626748877e-32,2.617421871789593e-16,2.370005481685273e-71,3.2926184849242103e-69,4.139478558927245e-51,3.011996739982573e-98,2.035409268129197e-28,1.847892310929528e-16,7.18577264258917e-24,1.0194092606123554e-16,2.9577289790347143e-50,3.49767190780876e-56,8.797946742281263e-38,1.7042876144449552e-20,9.952657578234732e-73,7.100509807004015e-120,4.3315046581099917e-63,3.140556386917614e-89,2.735918605474373e-06,673.8397853805927,85839726.68187313,104793669.02214524,143328677.73782212,121449451.0912809,633856010.2208278,29801565.819639426,3.260611954201324e-07,7.524657333633003e-16,2.091108307549088e-20,125.5529237651996,0.0077177604089673,7.271579312685514e+17,0.0035627661943746,9.196053328581776e-24,2.627570409369979e-47,7.459314618003284e+18,3.69791594114689e+19,1.6248013808930064e+16,1114653734874942.0,1.1338461007059771e+19,693016386147567.5,88819563652374.22,55759642937608.24,23700145619803.805,20.174610059336626,8.390907041238811e+22,8.390907041238811e+22,8.390907041238811e+22,8.390907041238811e+22,5.448536101390128e+17,8.390907041238811e+22,8.390907041238811e+22,8.390907041238811e+22,8.390907041238811e+22,8.390907041238811e+22,8.390907041238811e+22,8.390907041238811e+22,8.390907041238811e+22,9.153954776740619e-35,6.176147640856641e-33,1.5094262243809472e-43,4.451411278760489e-42,2.859962424431634e-16,1.9297822891239522e-36,1.0576218636109354e-16,3539.8999589981736,1.5299349750592582e-42,2.3669462604544163e-26,5.070586946988597e-18,1.1172118247362628e-17,1.2798269705636274e-07,1.82439712100296e-06,2.6068771713562975e-39,8.187193681203906e-36,2.0951193653134932e-23,5.926709330596219e-25,3.2669977757255563e-16,6025234.934101915,9653423.938847952,1.1981789126354741e-14,3.051430993891821e-07,4.611274501540522e-09,6.190228406471697e-12,0.6193598877615563,571.7769359439754,96171.82734683524,91.22023173553032,5834.533152728319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8274392998892544e+22
1464.8096531333288,132486.92973202543,12.027666606182638,14.492870596208707,8.76788095502846,10.545018188732207,16.692598910771423,364305.1574738406,8796078247996.8,2341169927.7441773,4.098244404101361e-08,67941.77798843851,7249741054091842.0,6.935668061584999e-07,691608.5277538016,12747.31555486047,10315145.78280282,2177848.4813827653,0.0022807976739854,14569158.272615004,29.64672735869132,16935.17754076561,1.66698637340789e-07,0.3241706801378141,74.8648009374284,3.57498177804163e-10,2.151042246449649e-06,700553734302670.6,5537229387559954.0,4.736532752172758e+16,552114797.2451767,153661360225209.9,3.3081298419794213e-19,1.6409088575795595e-10,3.065167817390272e-06,4.449065164212412e-05,0.031147375350766,2.7212464628783177e-08,1.7656469527157972e-12,4.021832823015422e-07,2.8471745199331732e-24,8.902063368320152e-13,3.2449512233570845e-07,1.0203719436535117e-08,4.96165571968151e-07,3.613138487792611e-26,2.2121672484602923e-20,5.451575197867981e-21,2.972870396673481e-09,1.2205790795953327e-40,1.0966761734134689e-42,5.842451547389541e-32,3.519135273363216e-49,779141.6636329982,81294421.43701594,4635099.38584219,5652273.788417937,3.7269337341487745,37377758967186.4,94783107.21884988,4.3985244033349466e+17,1.1984276119886477e+17,117111937.88470452,1247.6525741377673,1.969844345581662e+19,644350442.3005501,234832737800556.56,2.884113141611138e+19,751154135315.4862,0.5402962387916992,1473657341200.0808,3509415.884174558,0.0007888200725631,11157301104744.87,1.6089354431099195e+18,51604862.96417028,1.643541093064142e-06,4.93046265328532e-13,1.0489638834422608e-19,1.4021289726812145,1.2239798210926862e+19,4.496586305784948e+21,180150780880.90515,1.2004500819427642e+22,0.0729562655583251,1.0335305873599272e+17,1.4607658507255555e+22,9.170367939728452e+21,1.8011948409392026e+22,6.074045073778343e+21,5.5643563672978416e+22,2.740875780992352e+23,2.609342598357368e+23,3.6185563154965977e-32,5.573817454785607e-19,3.2342553753026767e-29,2.220631232900774e-16,1.8711547796740853e-08,2.867258541952203e-34,0.0025996137660892,41849.54158099053,1.1422766745294791e-20,5.310217919193183e-20,2.330484879151234,1.0855291831109204e-17,24486.886602886952,16280144527.691433,3.461329426130472e-21,2.4265627525894216e-06,4.755854260361023,1.0216507998522011e-30,1.1456329114168884e-10,2.974402156387557e-06,0.551793088949293,6.1885927191168776e-21,0.0330308511802313,1.067821818212712e-21,1.157912645489246e-23,0.2274144612319057,4.154254458795557e-16,0.0159970595956118,6.425876527903494e-06,94426924.0079813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.509542094913512e+22
1429.1834598525209,14779.313276565535,11.96339504836054,18.09486607776124,15.21770448812516,13.63353883208988,17.95792141398949,0.236558641285663,4.854128649126196,2885659571390417.5,4.7198817325818026e-17,61761.651789634,1.950273177795382e+17,8.831915062935377e-28,5.327020862133901e-15,8.717109613849961e-17,2.616976254366768e-07,1.7480306869116648e-08,3.823754596497128e-36,1.3954732425033625e-19,6.995032513552935e-44,5.431180591606412e-53,2.4553808242988416e-51,1.5844691850215075e-09,1.2917071335520058,3.0140347173488976e-18,2.2657604306989103e-14,8988803792493.287,3482754352392779.0,2.185286805796536e+21,73.32624956431519,1318443134.6979637,1.4644095029077536e-36,1.3081787535649667e-39,3.4736732749650647e-47,4.9972471910851895e-33,4.153640738945758e-17,3.2870252610940764e-73,5.3391342543321666e-71,1.4130281419545353e-52,1.4703382384920869e-100,1.6406487917747186e-29,2.475084352027031e-17,7.370181281010581e-25,1.3715054605432745e-17,8.370086740089739e-52,7.477155628432821e-58,4.39832497506789e-39,1.7666895959576388e-21,9.937906673195981e-75,1.1758419771733476e-122,6.345306152267997e-65,1.377131900409309e-91,7.713350560015315e-07,278.64091455524687,45817862.96365488,56079466.5080292,83292922.97527504,61183866.17418217,340491078.11858803,13412132.26041824,8.927865292899079e-08,1.4131297589118963e-16,3.395263399493833e-21,49.53390666870319,0.0026277358504714,6.083726516653216e+17,0.0010592486634199,1.2641568957552414e-24,1.3573275475417746e-48,5.994440111785719e+18,3.2537191743897244e+19,1.3524056956305388e+16,704158098681636.2,9.19159077951447e+18,500855191021559.7,64777585734229.555,45082769524989.31,19067034812246.145,7.997914765164236,7.490020232988683e+22,7.490020232988683e+22,7.490020232988683e+22,7.490020232988683e+22,4.607424087196665e+17,7.490020232988683e+22,7.490020232988683e+22,7.490020232988683e+22,7.490020232988683e+22,7.490020232988683e+22,7.490020232988683e+22,7.490020232988683e+22,7.490020232988683e+22,6.689978517978032e-36,5.55420214350671e-34,7.489769328364318e-45,2.596266523209268e-43,4.4585084486543155e-17,1.276473612468585e-37,1.8209762601861505e-17,1424.2941205786751,7.611268227367655e-44,2.965389005723259e-27,1.0057078362345893e-18,1.949902694968709e-18,3.877213243115696e-08,5.266868412000952e-07,1.807611019345415e-40,7.3612202605472465e-37,2.8733187075033486e-24,7.795483556401076e-26,6.915257747861905e-17,2889959.358149409,5498218.304772497,2.4167891298968443e-15,9.24171301926948e-08,1.195875726126426e-09,1.4411651630541337e-12,0.2521404223930312,238.90796483922696,49127.5195198362,33.288743092900496,2581.8346056181904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501551333277425e+22
1242.290185647139,88372.0978309064,12.038241698099082,11.725202763088856,11.93034478226682,13.95187515039202,9.486563613517069,1095.0980367796024,6424000786445.878,199.1098739765323,0.5386539941082166,36590.01110661366,51908315242.3971,984.8818351641615,4.3767057158923485e+20,3.4308711890367816e+18,6.533425791940632e+17,32682461001268.473,1224667995.7882,4.097984255221162e+16,9749683060922646.0,2.656752296816454e+21,0.5528279686008964,148059508102.23193,5666397922.451862,8882.312232370488,265617670.64226317,5.816841029007599e+21,2.4947991290019176e+19,7.438689398221935e+19,1816235785198455.2,1.9941619751827377e+18,0.3315318777890487,593469961311.4038,7.33553990512482e+18,567110986506.8733,7625850.415360329,2.8384425660872825e+20,258157639728.5494,991479600.7124752,0.0010433721462603,27339576199.52009,5146497322767.722,6.189145535132347e+18,4965212510.920325,25115.75434347711,12199743661832.912,10417107031315.46,1.0308752212649296e+16,3.4794678216184187,1.5565088230296848e-07,2.3796653245502016e+17,3843.1702278799594,40516452.86558432,605076.1798431735,1.3371918162122378,1.674516853404759,7.250373680880372e-12,1275624543.2470706,0.0175114564468582,405706340355678.1,3.947883981281687e+19,1323048971076.9983,5259304606.8235035,7.696262874289774e+17,15.581281650033317,0.0001115140653243,5.317208339273055e+18,4.877713555584912e+18,3575826637.939023,714476544.3035707,0.0120973131906741,4.338917010127787e-18,39267569848.864296,5.049114219066555e+23,14020202.34734859,3.8582709927479955e-18,9.451523930420713e-30,5.368153561997601e-42,472876.4258471589,15367144844.0707,5175157402.0402,1.9329877428817672,3875658430.045575,2.831624092000527e-19,0.4151446749366289,372955883566373.6,72208652498.41113,46245389.26828575,9202.502826797085,32.56084842286772,0.0466024582736935,1.867427448034033e-05,1.41612450501118e-29,1.7016684306938825e-13,3.3423810551124444e-24,1.1049403435198573e-08,0.0006957931678528,6.660437225959707e-29,1034164953.6987648,482894.780834456,0.0141711921148733,4.192230388230645e-26,0.0191040278492924,7.179246172948694e-28,0.0432276671431943,1493466.3109034009,8.866748182271077e-26,8.311774833033217e-08,0.0052696528508144,1.5524293688438845e-37,2.138710275260877e-13,7.453536854353518e-13,2.1001187784201912e-10,1.2546951308753149e-22,4.0368586929316495,8.073981093671439e-28,1.0482500027443562e-36,5.93736371492412e-10,4.2626523275140684e-32,1.2007726446455166e-15,5.059987206202622e-15,49.91048576462197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4296970871528975e+22
1292.9535060116932,61642.441317256176,11.98262085489178,11.732928928387112,11.922329394060355,13.952903680834238,9.47580870673942,3802.0951478920097,15608215619092.52,895.9400937104482,4.876714373904928,179808.52834433134,132359288137.95091,5966.8659590292555,3.87087408362378e+20,3.783004262428743e+18,4.1904063748710746e+17,43201918765094.25,3595086493.1435785,3.143077317048806e+16,1.2238881339636246e+16,1.5211168799789867e+21,0.8128066505866476,378316390324.5143,9206414360.060446,33826.44737399861,668397524.5628381,4.002139739308433e+21,1.4285387744682592e+19,3.1455769612297196e+19,2820207096255903.0,1.5448291022987315e+18,2.9032164479469733,1405958813009.5312,7.276198083027273e+18,346797119806.207,2072098.3121115032,1.625474400833021e+20,177797055284.74426,312019687.16199386,0.001133778239154,69617480696.90929,6223599696998.431,5.138189231056645e+18,9605913736.618135,120609.03469065572,23423735650843.348,7596595833646.35,5216745534852938.0,18.87604185414109,5.0670482906925096e-08,1.7744038503683197e+17,13275.459362108408,137246408.83024853,1355578.3082240403,2.7712682014182777,3.4466560683338408,2.182248414982881e-11,2740645562.4232264,0.0578964825280086,661879412314101.0,4.44432835278528e+19,2505469353850.769,9035421575.974531,6.022040576193807e+17,32.792000031916984,7.363449391757385e-05,4.95278894665486e+18,4.014071603976688e+18,4603622622.260382,1446360521.031803,0.0351220223227348,2.6515568313820474e-17,84738619863.25069,3.3847845604136205e+23,23175059.462416768,2.0674716501829728e-17,6.992356413119323e-29,7.32751037896545e-41,1299065.973784671,24605976412.78014,6033238333.287348,5.947020173408533,3527153894.0319133,2.6924124508723186e-18,0.4685562466042463,488068271495920.4,91075919122.82756,55357872.20081186,8972.664606953564,28.842351090561404,0.0403443931608676,1.4366990482480586e-05,2.4195176949360616e-27,3.1682580149717705e-12,3.0362282631377443e-22,1.2419208893916078e-07,0.005544038499337,9.171033019141604e-27,2134363268.280824,565652.9907694106,0.0915742492766024,4.521131784585393e-24,0.1151599479016739,5.887839486970798e-26,0.1553753486621641,3450731.3175489316,8.725610530972907e-24,7.755100887986807e-07,0.0296961511671608,4.788159974696057e-35,3.530531205446711e-12,1.3641576778952606e-11,8.385844622067069e-10,7.719871961212397e-21,15.973238234656067,4.639312507616186e-26,2.1020609492881443e-34,5.1132699225060005e-09,3.318268853430644e-30,1.0350979853230475e-14,1.738643765424536e-13,194.2482339852791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6789585983765452e+22
1376.4556266839609,90712.5117744502,12.00957779152522,8.710384980610332,11.689339433407188,10.395606484532772,13.505045370652024,1518013.7921745726,101274900450121.84,4437.913722745111,0.4659868080603819,147153.26959794256,1787365896283112.5,543.7527403585023,1.54739487445799e+17,2099429576548414.0,55022586803553.91,216413888080.27765,193225134.9767131,121526208191744.48,322370678389555.06,2.161036082040069e+19,0.0132368523098926,422189487.2196395,2780107.849442764,5.254209526101631,56106.83573695658,4.375825584959706e+18,4.00448372719847e+19,8846113794566221.0,6.5701178213266e+16,4.310057345321015e+22,0.0009532053228248,114534588.18904448,281916498161674.1,1845745.2851145351,0.9266745665278048,8358950446178858.0,6382789.3909907555,988.3865776493752,1.2835633427654668e-07,279967.4686905009,4380142.204254268,299633470648.18134,177079.51214684907,0.0583482736314126,5030036.043826571,701.5435114717815,25090137.710832987,3.97593449279397e-08,3.52563412637868e-18,115485.21333845016,5.1694006499451225e-08,111859727.17854904,316365.69039150496,0.3056147375350689,0.3762444540744425,2.224594116946683e-12,7827363518.552707,0.1663369004116121,7.968812044287437e+18,1.5898071997798243e+20,1489715984781.4402,357185221.0700894,6.6316265186884e+17,83.46422278997994,0.0316576907585789,4.491026135550051e+22,1.1984035017543127e+18,357179397.4479345,167417208.22084677,0.0036834017191813,4.46803084026153e-18,68475355028817.984,1.0967149935609782e+21,152571.9565404214,2.200304518349206e-19,6.389626016606884e-31,8.83351219141286e-43,2640.18517289165,88027869384961.42,4.527136266851826e+16,8.855164727904292,2885544046890.128,1.1387926116770028e-17,280.13000376667685,8.209804199088116e+21,4.879862684416146e+21,9.246003654393584e+21,3.72084559018228e+21,3.4938145712776132e+22,1.5921315124767357e+23,1.6025212449929997e+23,2.9286465101305886e-28,5.5206760540724845e-11,2.487833597395269e-23,1.7641675504001329e-06,6.4480088723574555e-06,6.178554287985687e-29,108130357.0800648,45128.36719660104,0.0011927281180226,1.3262462315265005e-22,180.12616221420808,6.0763587171503815e-25,59.521209606030816,4338898656352.944,3.8726627744906536e-22,0.0040292818448205,0.0171378460746998,2.966039133204407e-34,1.093243356763079e-09,6.691302553758518e-13,8.81786075756242e-09,3.3330365743719255e-22,45.304582148278506,9.605060156116475e-28,4.735243715566781e-33,4.15018222423129e-06,9.678174143357859e-30,4.454118600651917e-12,1.801587740182636e-09,306956784.8588083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.591375791416286e+22
1553.3455564014264,93202.4081639529,11.996489219610996,12.669292812505024,12.475472982442332,8.114581349988036,9.84008662902902,9470743.308553956,3765888056703064.0,686688748.8596629,4278.802632872843,1164824.908077014,15059549788937.951,6333556.839935409,1.4233440804318305e+18,3.4434328999263828e+16,6.589519214738278e+17,1.3987042323655126e+17,1221799080350.527,6.878241456029529e+19,8.003547461357994e+17,2.4953275540663096e+22,1693882748.418799,17131723237.277,104958793330.76326,75.06788208468484,271672.5589516909,1.3980015590229746e+23,5.840159286874383e+20,2.403988247145737e+23,4297268487834488.0,3.362402072423344e+17,229.48424997362216,3265489219156.4033,3.0077302395904353e+18,5.1876309771015704e+16,2.849872233321754e+16,2.7957492502939553e+20,1055803839685182.4,1.990143097386716e+17,2883279.419290626,327356667.5764401,2197534785594.077,2281840756105.59,2478403903802.6514,82093.92163570247,2329710895848.5034,335748737.100798,9.145780526962374e+17,2.2712810082437676,26318.332829104893,556007906.883946,26.14509504789445,1208739851.406683,3492645096.4170623,8386204.062405961,10140413.034035986,0.4954339441099831,630097947787852.8,125535744.20320526,7.546271000670123e+16,2.840329696608139e+21,12712987464481.809,291504740.85635394,1.3687332034297815e+22,70305656486.4054,8703595845.066141,3.5591224739916205e+20,4.196201389140321e+18,1840006861.32675,388832671484.8694,66721.49218387416,1.745843266708132e-06,45503700438.957954,5.688556421552484e+18,25771542.744964033,7.488195356180852e-09,1.5579619272182247e-16,3.26647959235036e-24,68.80846004446406,659194025024005.8,107890042451753.92,1520618360.0855632,1.4872771804596374e+16,0.0001145991098191,7740621011.798919,8761381269583342.0,3470534135823.264,4235962264.118439,734674.9799932832,3963.026872590884,12.598154239218566,0.0068687794385732,2.5654169725904335e-20,7.820689931982687e-07,1.5070418271649414e-15,0.0237172881084054,2002.335237961846,3.761343587720781e-22,582170184.7757342,4106601270938.302,30.009420906356414,4.43435304426416e-16,16896.594368389586,2.966265262465588e-15,4298390.467497612,23490397262.71887,3.708238609856964e-15,4.335907638057153,982378.3552963956,5.23857909545341e-28,4.8344538511771337e-08,2.1475408939812167e-06,0.0858852973893358,1.0467164092312393e-18,5.766770501209667,7.707144602658106e-21,6.656381234621792e-23,0.8201281046054294,3.415371825204701e-17,0.0026598304465817,5.977546558398243e-08,1823916.662798977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4565845098321588e+22
1876.67648761572,108484.97295967428,11.976946232372542,10.605072493908414,14.271666554112446,15.894871227757498,13.151904187741234,1334728.148030213,188487378734321.0,183836.39115687177,815883613.0924917,170309130077.19073,3163759958416213.0,659639178.6795102,9.562665223809978e+19,5.018630399690013e+18,19954573939388.723,94687186419.1177,22166316603.670124,15596147471.074265,1652188728115.4175,7378508627421.945,2.8251895385697735e-11,2.0975860491003564e+16,37436485355.086494,213067429771.51053,182123587345443.5,4.211009457210091e+18,7.707035294248666e+16,1873010093534.6145,1.3179215034430423e+19,7.471555891299064e+20,3282361250.047549,1070757290590596.6,1.0644009096649837e+17,687.0700549999218,4.3133585692225e-11,7238945305781.116,74.86119353076195,1.900720394688415e-09,7.567817078043419e-18,3.4995048297902896e+16,23847701246896.8,2.6780189176520843e+21,251652575411.94263,11557547477266.783,2.870905795479114e+16,30981961877862.312,102236368579.284,45407124644.120346,1.572169401171129e-29,3.41971131990659e+21,9330654055093.102,105605528700.63318,99329.88568736492,0.0002594262111582,0.0003061579381278,8.145199667917161e-17,27574728.071220424,3.505073970124637e-05,7311379387219931.0,2.086034201333335e+16,320275117107.34033,2968684254.5745273,38163042122.49096,9.069215555033088e-06,3.1909407909057704e-19,1.0797778158367876e+16,12805563813327.928,35861.35122037588,3438692833.2120495,0.0029405382250222,1.5267788203585586e-18,2926406579057809.0,4.117204113632049e+23,64010954.0641515,2.31355102490332e-18,2.1970410615198044e-31,5.613206946327416e-44,411517048011.545,37184916750.64544,16127476263.410042,0.1469513055269456,161319.59184909292,8.274918145633999e-19,2.557781225921721e-07,1.412216253361638e+18,4023847797561902.5,34058405149325.64,23837011472.111515,764933314.6539221,18882500.108644888,56460.18160657353,9.100758249416068e-08,0.003105344737937,1.2857180386905534e-06,0.0335059814569886,462.92504733132967,3.461090537156748e-07,550490242571.3997,1.859710264102901,240764.77850789207,8.359622118416316e-09,33.99500965583395,2.893047677542797e-14,0.0018898884288225,12152056.786617655,1.13901823029408e-10,9.153389673906444e-05,0.0038799677242184,9.759032230321713e-14,0.0008251796222506,0.0264311568672402,1.9197221462801815e-11,0.0003693306259763,355232.5945728304,3.0778645521322436e-12,6.8037745034128704e-18,3.5435428545974728e-06,1.7128343479283795e-19,1.5927438148129898e-14,71.21355971994011,2787453.693256577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.222357690118143e+22
1291.4874045816043,80625.82808583506,11.98046977011107,11.290741355786418,15.3545617227395,13.044524802450145,15.898026009885909,21203.876946879212,1182656453623.619,18.700516815954213,0.1612191880274239,8855.570951472184,335627742682273.3,15.492710035281142,5.458834505293983e+16,530226883770051.3,1297724340451.4326,2547079456.2698336,739751.8134091302,146119698911.34088,200273137667.3997,1975917256218422.0,4.871704158514362e-10,666943813.716986,357720.5460530995,3.0360565872519016,60686.8358366897,3.093796300319384e+18,2.8888054614039257e+19,536451734610339.5,2.5485996702890576e+17,3.7043668428317874e+23,0.0033766828726067,131710809.72817037,54238574046572.38,1241.1170258903353,3.592971603896094e-06,7421573681414.359,175.77470520765672,0.0001493340490081,1.4529576599387687e-16,4314227.411089128,8569965.749003958,16911808481135.89,253599.9610302161,5.013954462186527,77583471.2414885,19196.57542162567,109366332.01091142,2.74877021567483e-05,3.929734756624357e-27,723694192.7131157,0.000688092090774,530448.1336659174,115.34965593413908,5.143493614263233e-06,6.3982382430630005e-06,8.724063976702724e-19,4535270.586607483,2.0603572458755915e-06,1.3198311505598058e+17,2.6720885857345594e+17,764360219.0238197,142291.67824368065,79605332433604.47,9.178088584703614e-05,2.6241072051235575e-10,7.791121739222044e+19,97342551450521.9,440.83890864329544,1589128.9004079455,8.314825362890081e-07,1.3381993459845708e-23,11113548511050.035,9.071343922575196e+20,1318.2470173678432,5.391319163084845e-25,3.932977198103933e-38,8.818539473627976e-52,172.33009730332753,1375695956895.1912,885688862331122.2,0.0027303887381655,4359998231.100165,2.6072002907534532e-23,0.0125304841521342,3.2814303026783044e+21,1.595300668729707e+21,2.5273010001660116e+21,1.0722254176945094e+21,8.994191114243157e+21,3.2764021291170904e+22,3.04658630213721e+22,1.2765915675602704e-29,5.927160479682708e-13,1.2662857077889457e-25,1.8300706597109011e-09,5.3850950151115225e-08,2.5061077615909117e-30,21854348.812153623,54.14017977660742,0.0006201740158971,5.338838924712642e-26,0.0491218954427154,1.5248357834156082e-29,0.001463405609555,3934628950.283046,8.023013797874359e-27,2.5381311005841924e-08,4.9981891684852024e-08,3.6398300588875743e-37,9.706240119199104e-13,2.441621025330129e-15,1.1361080743168741e-13,3.159817190095851e-24,0.2352465799946265,4.140729116600425e-31,6.837005894625961e-37,6.051722797881206e-10,2.411717849656048e-34,2.6662642477190546e-17,7.10264608018943e-11,2810617.92440729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1365755986180483e+22
