species,MAE,R2,max_abundance,mean_abundance
N2,1.349252322437372e+21,0.6215657419837035,5.049114219066555e+23,2.5955831759091395e+21
O2,6.134767962519722e+20,0.871356628225994,3.6911887985254506e+23,2.0669971196643676e+21
C5,3.672273298279384e+20,0.8703419377849133,3.331290110333415e+23,1.2028537566620075e+21
H2,3.406186437218202e+20,0.8104985771504833,2.864965521885379e+23,1.0469209467042693e+21
S7,2.7708422665146748e+20,0.5547577457157631,2.740875780992352e+23,5.375364513927932e+20
S8,2.5994849724314606e+20,0.3762995172634992,2.609342598357368e+23,4.0020969820242824e+20
O2S1,1.8559345873725525e+20,0.7212749741548516,2.0333343840561343e+23,4.027319868311677e+20
S2,1.737132552321396e+20,0.814980462797092,9.336036275133978e+22,7.059213738646046e+20
C1S2,1.6460590847132484e+20,0.8315770836876022,3.8645593532823414e+23,4.947798412049262e+20
C1O2,1.1481043880531268e+20,0.05667489260004932,2.403988247145737e+23,1.8183600337224054e+20
S4,1.0714753589076468e+20,0.45212458913556464,8.833624486439707e+22,2.5984875186848727e+20
S6,1.0341042312685488e+20,0.26152204725172057,8.833624486439707e+22,1.7911175378478406e+20
S3,1.0245811305126845e+20,0.381994291970539,8.833624486439707e+22,2.5512931714465468e+20
H2S1,9.695083551608763e+19,0.8933395460332454,1.4658849887281855e+23,3.768161574992414e+20
C1H4,8.247755141873687e+19,-1.02740697166813,8.412843518250484e+22,8.598278318240843e+19
H2O1,7.2526864551409164e+19,0.8759229138103489,1.320507703897112e+23,2.2070294347480688e+20
C1O1,6.292402862908753e+19,0.9505570917146311,1.4567384909162531e+23,2.904216741903115e+20
C4N2,5.802260944130732e+19,0.9570736305421393,3.256411111071169e+23,2.2413541731394126e+20
C3H1,2.667793777617976e+19,0.9197517165347525,8.673028168740125e+22,1.1868400000503792e+20
C2H2,1.966911769384773e+19,0.9675488158322084,1.1368607832758554e+23,1.0546275788121645e+20
e-,110401685366.01215,0.8732210529445885,209249671476573.5,423870093686.57074
