species,MAE,R2,max_abundance,mean_abundance
N2,1.0028060356799505e+21,0.25873091449844565,5.506815232210163e+23,1.7809628804293738e+21
O2,6.00104288336563e+20,0.8079835169239483,3.263934591186052e+23,1.5568797670351396e+21
C5,4.8741701201233655e+20,0.8451084033070344,3.47645824268008e+23,1.2885662242181556e+21
H2,3.759356051689029e+20,0.8296112473136009,3.4931181344039466e+23,1.1490430389684645e+21
C1S2,2.128243855824484e+20,0.7922142265021411,3.56169118481968e+23,4.923801742280448e+20
S2,1.5408861061394543e+20,0.8782649132187773,1.0868325233366056e+23,6.724810501979265e+20
H2S1,1.4640175700689043e+20,0.7937590717118848,2.4875800072021204e+23,3.579931430217566e+20
S7,1.4102469162146257e+20,0.9078992730377493,1.8986613842672964e+23,4.834502901815663e+20
S8,1.3475757280362337e+20,0.8363407003661778,2.002414731891072e+23,3.876089655589823e+20
C3H1,1.2375392220903894e+20,0.7924240531254982,1.8422864790901332e+23,3.355102712204954e+20
H2O1,1.107218382423035e+20,0.7732706759696899,7.796000505547009e+22,2.360314872956575e+20
C4N2,8.953259653867299e+19,0.8933952640393696,1.158799218266217e+23,3.028380224490048e+20
C2H2,8.937457674577258e+19,0.8761460765028682,1.8915173390372013e+23,2.4541263185966514e+20
S3,7.78424671952693e+19,0.5272075136163102,7.345004513195448e+22,2.1662637063277412e+20
S4,7.339233152129322e+19,0.5589839365616636,7.345004513195448e+22,2.1251726736664904e+20
O2S1,6.848712508333028e+19,0.6706071211358285,8.409803510568938e+22,1.5610119508884318e+20
S6,5.4164980345085075e+19,0.5376742940903726,7.345004513195448e+22,1.4116855043571338e+20
C1O1,4.9468908837616886e+19,0.9846934998026263,1.957146825286952e+23,3.641969781273805e+20
O3S1,3.946287661187527e+19,0.22357697688804723,7.345004513195448e+22,5.6094969726871265e+19
C1O2,3.529594630532606e+19,0.9776513940976745,2.2204398795153924e+23,1.3950541315561072e+20
e-,94889635261.32617,0.9340726957391616,75530419852965.77,386503259823.8834
