model_name,dataset_size,latent_dim,encoder_hidden,encoder_layers,dynamics_hidden,dynamics_layers,decoder_hidden,decoder_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,grad_clip,loss_type,loss_delta,scheduler_type,scheduler_factor,scheduler_patience,scheduler_min_lr,train_samples,val_samples,test_samples,notes
latent128,160000,128,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Latent dim study - 128 dimensions
latent160,160000,160,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Latent dim study - 160 dimensions
latent192,160000,192,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Latent dim study - 192 dimensions (best in study)
width256_layers3,160000,192,"[256, 256, 256]",3,"[256, 256, 256]",3,"[256, 256, 256]",3,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Layer width study - width=256, layers=3
width256_layers4,160000,192,"[256, 256, 256, 256]",4,"[256, 256, 256, 256]",4,"[256, 256, 256, 256]",4,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Layer width study - width=256, layers=4
width512_layers3,160000,192,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Layer width study - width=512, layers=3 (best overall)
width512_layers4,160000,192,"[512, 512, 512, 512]",4,"[512, 512, 512, 512]",4,"[512, 512, 512, 512]",4,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Layer width study - width=512, layers=4
width768_layers3,160000,192,"[768, 768, 768]",3,"[768, 768, 768]",3,"[768, 768, 768]",3,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Layer width study - width=768, layers=3
width768_layers4,160000,192,"[768, 768, 768, 768]",4,"[768, 768, 768, 768]",4,"[768, 768, 768, 768]",4,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Layer width study - width=768, layers=4 (best 4-layer)
width1024_layers3,160000,192,"[1024, 1024, 1024]",3,"[1024, 1024, 1024]",3,"[1024, 1024, 1024]",3,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Layer width study - width=1024, layers=3
width1024_layers4,160000,192,"[1024, 1024, 1024, 1024]",4,"[1024, 1024, 1024, 1024]",4,"[1024, 1024, 1024, 1024]",4,silu,0.0,0.0005,512,50,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Layer width study - width=1024, layers=4

