dataset,total_samples,test_loss,val_loss,test_mae_linear,log_mae,log_r2,training_time
x192,191996,0.00040195277803209856,0.00038404721463417734,1.297314248768496e+20,0.1113144,0.997957,405.2614357471466
x208,207998,0.00048132577718379687,0.00045742186335789994,1.9924517985132187e+20,0.1539279,0.997451,480.0768871307373
x224,223997,0.0004971334135255099,0.0004813981143921741,2.445773847860196e+20,0.146469,0.997552,485.0156180858612
