batch_size,cpu_sps,fastchem_sps,speedup
1,3391.439997120689,656.55193690128,5.1655319351081745
2,2801.361585587688,656.55193690128,4.266778343247664
4,5326.389779729799,656.55193690128,8.112670880035317
8,10514.633833328024,656.55193690128,16.014930795808493
16,18399.153782417437,656.55193690128,28.02391212073137
32,30739.347405260945,656.55193690128,46.81936900581097
64,47777.580318436296,656.55193690128,72.77045064238413
128,34938.95376679814,656.55193690128,53.21582620211142
256,50549.553615106444,656.55193690128,76.99246742563055
512,74559.0191629383,656.55193690128,113.56149448714382
1024,94551.28776728855,656.55193690128,144.01189373310066
