species,MAE,R2,max_abundance,mean_abundance
O2,8.942977159806141e+20,0.6662176182775192,6.108081689797226e+23,2.0797681792049113e+21
N2,7.315985278311962e+20,0.7984512802279649,5.017469154023792e+23,1.8884597629173168e+21
C5,3.681159780068148e+20,0.8710535112802366,2.6072488125557497e+23,1.1201296106424376e+21
H2,2.436011555884837e+20,0.8991530669329948,3.314795029664449e+23,8.902106371403683e+20
S7,2.2793847781698775e+20,0.27700578765889916,1.6575491057882487e+23,3.5575934933373655e+20
S8,1.6844902483344458e+20,0.4332171946830672,1.7230247400748604e+23,2.672934655462481e+20
O2S1,1.1144679659885058e+20,0.6690203609704144,2.5295629101021973e+23,2.4834590165072373e+20
C4N2,9.279943453719563e+19,0.8271105703016495,1.3366349751021562e+23,2.585140072965086e+20
C1S2,8.04560733528908e+19,0.8425556134749577,3.538496780127514e+23,3.509475734391076e+20
S2,6.373282535047688e+19,0.9771499176600312,1.1108456467737002e+23,5.757083798665206e+20
C3H1,5.819952489662603e+19,0.9196065800528057,1.7610244769393242e+23,2.0957194332997216e+20
H2S1,5.678883266885704e+19,0.9342259911850671,2.3385899728246343e+23,2.4828423993567042e+20
C1H4,5.084052130869832e+19,0.6723228233827154,2.710563423447811e+23,9.418972134424225e+19
C1O1,4.588553335213716e+19,0.9104484672938532,7.215433306527424e+22,2.0020125299690206e+20
C2H2,4.5242963077460025e+19,0.9075655241058218,1.6745632277538427e+23,1.626593941910535e+20
H2O1,4.461935590054052e+19,0.8836794343136141,2.8245512449018654e+23,1.787019780652322e+20
S4,3.26226731105073e+19,0.9628686557949971,7.1006009637210195e+22,1.7124292663168126e+20
C1O2,2.769135897403859e+19,0.9306104921225554,1.0362566982789538e+23,1.0729651592257764e+20
S3,2.6112726911753163e+19,0.9703810698854439,5.2229254560819005e+22,1.714042211128528e+20
O3S1,1.6757755852402457e+19,0.7568897296922064,5.1648516045203564e+22,4.138587420611802e+19
e-,139594540127.67703,0.8825579846664189,294935683295549.9,526197365538.1986
