species,n_in_band,cov_±10%,med_rel_err%
N2,173,52.02312138728323,8.304466307163239
C5,62,30.64516129032258,31.601858139038086
O2,28,46.42857142857143,12.159962952136993
H2,107,36.44859813084112,12.98709362745285
H,100,82.0,3.7947628647089005
O,56,87.5,2.895546704530716
S,113,69.02654867256636,4.764212295413017
S2,98,41.83673469387755,13.399392366409302
C,42,73.80952380952381,5.847851186990738
C1O1,148,54.729729729729726,8.647014945745468
