temperature,pressure,group_index,point_index,comp_H,comp_O,comp_C,comp_N,comp_S,species,observed,predicted,pred_over_obs,obs_over_pred,ratio_max,log10P
780.9006973177259,21.88693390801438,0.0,9.35939461330671e-19,9.609399347551572e-08,0.013456558199104,0.626766298920564,0.3597762441402358,8.026461026431808e-07,N2,0.13706332,6.0767466e-06,4.433532e-05,22555.377,22555.377,1.3401849264790542
912.081039772558,2688.390408163669,0.0,3.2436762381228202e-22,0.6005132264223593,7.421973929926959e-05,0.3625323120485543,7.689717355342034e-06,0.0368725520724319,N2,0.029467633,1.9284716e-05,0.00065443723,1528.0303,1528.0303,3.4294923372238237
1277.671174987101,12098.692170807732,0.0,5.1905568294526385e-21,7.919533057371796e-06,0.0327429645530067,0.5981405277670487,0.3587045785587448,0.0104040095881422,N2,0.17735794,3.9623144e-05,0.00022340778,4476.1196,4476.1196,4.082738427035547
788.3876203759384,489.7907954314462,2.2223507729365216e-22,4.2669134840381214e-20,6.538868144428861e-07,0.0001088468841671,0.3209195884397467,1.4011156470762153e-07,0.678970770677707,N2,2.1474536e-07,2.8669707e-11,0.00013350497,7237.8657,7237.8657,2.690010619231135
718.2978991091691,4.846245046524567e-09,6.139077645383557e-11,3.3560291128096774e-09,0.4989952402198851,9.169832558192851e-06,0.4962593153031072,0.0034047165198902,0.0013315581245591,N2,0.005012285,3.2955309e-06,0.00065749075,1520.9336,1520.9336,-8.3145946298884
844.5959783636032,0.0002908309919723,1.2028522393197e-15,8.66053612310184e-14,4.2683790308950185e-08,0.0556675096074996,0.6350574059359653,0.3074002689357478,0.0018747728369969,N2,0.04282944,6.272871e-06,0.00014646167,6827.724,6827.724,-3.5363593154011213
1359.8654799493038,15789.460786994952,1.436496826400069e-24,1.0227857403968492e-22,0.5214336403211018,4.598319662432595e-06,0.478559623399439,1.377860750866009e-07,2.000173721726778e-06,N2,4.951115e-12,9.700386e-07,163001.16,5.104034e-06,163001.16,4.198367299024683
904.1544610173086,2.7280526319439327,3.203096853788138e-19,1.0341426985087418e-17,0.0016463166949191,7.117277574973324e-08,0.5394275382751543,0.2300489709249488,0.2288771029322021,N2,0.039090775,3.768071e-05,0.00096392847,1037.4214,1037.4214,0.4358527448489298
1289.231216891745,1495.7092844823396,8.330383255240263e-22,4.2246943651575614e-20,0.0003887095880421,0.0216676993019695,0.6117630567775382,0.3635545647391929,0.0026259695932571,N2,0.16475883,0.00010844179,0.000658185,1519.3297,1519.3297,3.1748471895081884
1334.1521991715124,87937.30435357687,6.359104364906045e-25,2.845699203295456e-23,0.7128083295865953,0.0104264328911973,0.271258684336236,1.0087270028597328e-06,0.0055055444589682,N2,0.014651398,8.838132e-06,0.0006032279,1657.748,1657.748,4.9441731485442055
1081.8569500703693,62.71351953223257,5.306537208939312e-22,1.5978573151361703e-20,0.5879134051804017,0.0004491048206517,0.4115442332215321,3.231756259224524e-05,6.093921482214887e-05,N2,1.9905666e-09,0.0007286992,365892.44,2.7316712e-06,365892.44,1.7973611744085183
1225.800559668663,45181.01497664577,4.494988457490128e-23,1.191171941234884e-21,0.2829263571651597,3.2531540790150963e-06,0.625311309207191,0.0916543936638921,0.0001046868096781,N2,3.4268766e-10,1.7524172e-06,5098.8657,0.0001955513,5098.8657,4.65495598297667
945.6208671732476,2721.4254426699217,6.716327214062249e-22,1.1225861200646903e-20,3.886849195100297e-06,2.0126726476024223e-06,0.3159878505798273,0.0002282995172415,0.6837779503810885,N2,0.00035229337,4.5970133e-08,0.00013048822,7663.361,7663.361,3.434796440699545
