temperature,pressure,group_index,point_index,comp_H,comp_O,comp_C,comp_N,comp_S,species,observed,predicted,rel_err%,log10P
700.7516421239853,6562.309266163971,0.0,2.889661179698471e-21,0.0665319683124473,6.98558259688612e-06,8.690246600613419e-06,0.0039844779757219,0.9294678778826332,N2,0.013240263,0.008031259,39.342148,3.8170566938073414
1510.4530347268442,6.111754531229457e-10,0.0,1.235188167164413e-07,1.2385244620350717e-05,6.952641753130043e-07,0.9921334756157296,0.0078499386387282,3.505236746172013e-06,N2,0.014200615,0.017076097,20.249002,-9.213834096820017
1414.614573771387,0.091150000290077,0.0,8.206604618300837e-16,6.887129821764872e-08,0.9866644609422388,7.448401975968815e-08,0.0133309406965966,4.455005846426656e-06,N2,0.013210685,0.012176163,7.830952,-1.0402433256269001
1772.7502623246162,76.39758294260862,0.0,2.076929364481139e-20,4.732341265100356e-09,0.0065578464058185,0.5771934977201628,0.4161414414105503,0.000107209731127,N2,0.013764156,0.14639828,963.6197,1.8830796186373036
2005.0273934045313,1.5626162582068814e-06,0.0,9.389168306599094e-11,0.0001484871893502,0.0013673699879973,0.9387436806409548,0.0108503806430509,0.0488900815386465,N2,0.014224139,0.013523411,4.92633,-5.806147661395442
2709.442549543788,5.519163319491005e-09,0.0,4.642805980147281e-08,0.9659390981798308,1.2314674357431631e-06,0.0004659601912955,0.0294862709828182,0.0041074391786195,N2,0.013571824,0.015210237,12.072168,-8.258126754384767
1952.497478590064,1.7956084173118757e-05,1.5012814940121196e-14,7.431343395359989e-12,6.18856753700762e-07,0.0032156657796403,0.0006922949167056,0.0174994774358467,0.9785919430110536,N2,0.013875773,0.0133848805,3.5377681,-4.745788367414107
2060.3618262119976,164.60928889649443,1.728114199506186e-21,9.556471523269208e-19,0.9709297697066326,0.0001466104672837,0.0135776715407229,0.0145590094588172,0.0007869388265434,N2,0.014371384,0.013285244,7.557658,2.2164543387903812
2153.3076519451847,6.056138987898423e-07,4.909005658019288e-13,2.8030422307290126e-10,1.2732696187280816e-07,1.649822938967351e-05,0.9884911833376224,0.011491575039087,6.160669389975996e-07,N2,0.013475606,0.014541775,7.9118433,-6.217804166370486
2728.5772504550896,7.358473498050641e-09,5.119550017043286e-11,3.7116737623563824e-08,0.0001808926521788,2.621150667106675e-07,0.968789542341101,0.0307854059240568,0.0002438969675967,N2,0.013087699,0.014795106,13.045889,-8.133212269919634
1314.844789321564,15.32503267994297,3.1198407916597375e-22,5.428522977487943e-20,8.578564041978882e-05,0.0057181034726353,0.5192047130700354,0.4749867574025501,4.640414359557656e-06,N2,0.013168796,0.60394204,4486.1597,1.185401409304891
