species,MAE,R2,max_abundance,mean_abundance
N2,8.411309820931515e+20,0.6248319972373068,3.0818087521103474e+23,1.675088604427605e+21
O2,6.422366684912676e+20,0.71904509499782,3.1842324254602435e+23,1.4698457407822283e+21
C5,4.6479060563353194e+20,0.7587248929982134,2.618518328221219e+23,1.0795086155752695e+21
H2,3.253389516362143e+20,0.8978348044465873,3.949190959393453e+23,1.1466456665619813e+21
S7,1.8818929591999988e+20,0.5110952876596229,1.3843495892091486e+23,3.521379086853097e+20
S8,1.350503706880069e+20,0.6394250428180781,1.2412772598149874e+23,2.4158029109246575e+20
C4N2,1.2409546449997426e+20,0.41883531022193643,1.1127847651506811e+23,2.2765364187559464e+20
C1S2,1.1105162150631494e+20,0.8015274536991589,2.9694250757298014e+23,3.1022829068506294e+20
C3H1,9.276823140097987e+19,0.898767573800009,1.91356841267656e+23,3.2000411690689004e+20
S2,7.938443992271451e+19,0.968754803135578,1.0205451601184024e+23,5.245599885543959e+20
O2S1,7.641523114428192e+19,0.8436726043075454,1.5237505021638268e+23,2.5820539141955073e+20
C2H2,5.931980981168934e+19,0.9149458102379721,1.453152453932737e+23,2.362927753192974e+20
C1H4,5.708593949704118e+19,0.7757225667022756,9.118244206553193e+22,1.1607014467415161e+20
C1O2,5.0207257469278495e+19,0.7527602108386562,1.0081693695022838e+23,1.1450958070046076e+20
H2S1,4.599544591432622e+19,0.9732818726953982,1.537433161184251e+23,2.445201501314071e+20
C1O1,4.5712696675023634e+19,0.9191793516701868,2.0083071554389755e+23,1.8578249702809076e+20
H2O1,4.493973938050329e+19,0.8223770345628266,7.06842260992102e+22,1.3301207763957267e+20
S4,3.9812339085435765e+19,0.8794651745951966,5.7752612684042615e+22,1.4454219274497776e+20
S3,3.4173827686527275e+19,0.9214985870419171,4.516760886201876e+22,1.4549119359040066e+20
O3S1,3.3352959911399337e+18,0.632784606042484,7.694406307389326e+21,6.372131836606039e+18
e-,213519262490.04788,0.7949226348966352,321219739195345.3,594218231379.7745
