species,MAE,R2,max_abundance,mean_abundance
N2,9.461921879177361e+20,0.7110903103873873,5.738404592911203e+23,2.267864639065222e+21
O2,6.14460951089585e+20,0.8071637393452865,6.227396494186777e+23,1.8800442340263262e+21
C5,4.356401177361435e+20,0.8485137693562523,5.3711318346341934e+23,1.19886405296249e+21
H2,3.917042794733488e+20,0.8400774370439789,6.707616564513162e+23,1.414986287304255e+21
S7,1.8600952331955706e+20,0.7349686230070007,1.495044697970199e+23,3.729505808029394e+20
C4N2,1.6188961057251806e+20,-0.07270208446609638,3.0833190956333376e+23,2.5451646469851247e+20
C1H4,1.5696331156608415e+20,-15.408461828881272,2.1442766483217423e+23,9.859683122681699e+19
S8,1.4552535819383179e+20,0.6492265731667145,1.44941199871143e+23,2.5591555608904978e+20
S2,1.35550456495629e+20,0.9363877302727754,1.072152257199078e+23,6.57455190195783e+20
C1S2,1.2810685887175272e+20,0.8166836821983442,4.235867618589706e+23,3.608955281160439e+20
O2S1,9.857968658072178e+19,0.7936048756142786,1.805325790765625e+23,2.7269982214596113e+20
C2H2,9.828121915880414e+19,0.824149301779082,2.223779269192616e+23,2.6217068985889135e+20
H2S1,8.410964275425708e+19,0.9108852912263803,2.5389533828775075e+23,3.6383970732071485e+20
S4,7.408875535206982e+19,0.8155379672518923,5.791591746583719e+22,1.918414448405193e+20
C3H1,6.29432046498054e+19,0.871729773229081,1.5898496172116752e+23,2.3622185714218684e+20
H2O1,6.218906337532787e+19,0.9052565421079779,2.1415161422335112e+23,2.034919089886219e+20
C1O1,5.618612772735328e+19,0.9367392199255398,2.4722527886516068e+23,2.4738950044479527e+20
S3,5.552613740330207e+19,0.8926943607768089,4.552815324581693e+22,1.9232902931952484e+20
S6,4.126340718427199e+19,0.8161516510380231,3.3036960503914436e+22,9.770529977502484e+19
C1O2,3.703212077972536e+19,0.9560914836496274,2.590341419812503e+23,1.382356408332981e+20
e-,119911799984.2186,0.874974437741312,321219739195345.3,492874297625.08594
