species,MAE,R2,max_abundance,mean_abundance
N2,2.3367189973665686e+21,0.33795455824955656,4.766717562214104e+23,3.167786225991702e+21
C4N2,1.5877640787233071e+21,-7.465401634148298,3.473751182273807e+23,6.708680144754631e+20
O2,1.2783005684597638e+21,0.6511105486237453,3.720493941315944e+23,2.5824543592993637e+21
C5,5.45718307090086e+20,-0.5832111120162664,1.642040025906536e+23,7.931486880916837e+20
H2,5.266734808334748e+20,0.8652305238636966,3.60445901741275e+23,1.5942526817640844e+21
O3S1,3.0770561960354434e+20,0.2815007940485885,4.600429207152601e+23,3.654024363800721e+20
S7,2.0629282991936917e+20,0.7238594077159823,2.245874051400319e+23,3.8215045986507175e+20
S2,1.8955745967874966e+20,0.7821059880498303,9.587088726535585e+22,6.452722305196404e+20
H2S1,1.6888014358312973e+20,0.868412356559663,1.928545598893446e+23,6.481015242584769e+20
S8,1.679341621966818e+20,0.5131832495477101,1.7624511754126236e+23,2.527039777544899e+20
C1O2,1.540343087789422e+20,0.662928278313912,2.987166779850715e+23,3.161167522853081e+20
C1S2,1.473788496387786e+20,0.8368639922119077,1.5210280041598625e+23,4.145413811056532e+20
C3H1,1.397978512422996e+20,0.8519121624682727,1.497234304262355e+23,3.9582222931548334e+20
S4,1.1833590282779016e+20,0.4274007351850674,8.978722246593587e+22,2.3919157552493425e+20
S3,1.114582284542274e+20,0.36662338241541503,8.978722246593587e+22,2.351073122798768e+20
H2O1,1.0239217079543713e+20,0.5839385629326823,9.04960124412758e+22,1.7397520343957085e+20
C2H2,9.095182562003726e+19,0.9330719465417635,2.0844260939140193e+23,3.2523992726915285e+20
S6,8.356748147726867e+19,0.2635219876416999,8.978722246593587e+22,1.3666824890919372e+20
O2S1,7.056051806807486e+19,0.809347483286136,8.978722246593587e+22,1.6204477769897175e+20
C1O1,5.530012052948273e+19,0.9548357395863625,1.3563085428787527e+23,2.120666105011096e+20
e-,218535673458.8845,0.8507431155930181,191567820074032.8,641862660900.2074
