species,MAE,R2,max_abundance,mean_abundance
N2,9.483358460115141e+20,0.1401157242701424,4.876688389476602e+23,1.8104982760772943e+21
O2,7.212286877095297e+20,0.7328093528338042,6.108081689797226e+23,1.7892693896319538e+21
C5,5.953852687830247e+20,0.7763441411058032,5.3711318346341934e+23,1.3334315519005447e+21
C4N2,1.712006307119074e+20,0.5478195319995404,3.256411111071169e+23,3.112826919852681e+20
H2,1.625676055924112e+20,0.937935267195453,2.9721518406751428e+23,8.654900159655827e+20
C1S2,1.2777647843362849e+20,0.9009655765955684,1.955463136717106e+23,4.735206543787489e+20
S8,1.1150877293066761e+20,0.5591125990788282,1.2135716714136136e+23,2.054280005483938e+20
H2S1,9.347682518900775e+19,0.7170959551813307,1.5881709370195266e+23,2.4592841589589947e+20
S2,8.622173824736074e+19,0.9496682067846502,1.0533562813241565e+23,5.448381297647659e+20
S7,8.289873749499548e+19,0.8525480019282654,1.2191318684986832e+23,2.9193554004195774e+20
C3H1,6.8836860793408455e+19,0.882756236597439,1.765626273862141e+23,2.329876986266076e+20
O2S1,5.861871338976695e+19,0.7695465042436942,1.246414103814434e+23,1.4550600287006315e+20
C1O1,5.679922654274686e+19,0.9110737462536536,1.2917386350374855e+23,2.0207995668100104e+20
C2H2,5.6458012252261835e+19,0.9122963108395614,2.223779269192616e+23,2.3723716266472092e+20
C1H4,4.077101224504623e+19,0.926149685001358,2.3888662059559943e+23,1.3026571831866797e+20
C1O2,3.730935630384767e+19,0.7545266853915247,1.0362566982789538e+23,9.385604211568294e+19
H2O1,3.5920747561099567e+19,0.9020277490168652,6.2661041137664016e+22,1.2481804933252588e+20
S3,2.7947206931078124e+19,0.931792446123439,3.713463711980303e+22,1.54087018257691e+20
S4,2.5856440269116715e+19,0.9501712567043091,3.999741319249442e+22,1.4725965798523224e+20
O3S1,1.0913993553173535e+19,0.6015138753477408,3.4587191628448743e+22,2.1188073765037126e+19
e-,146086303421.0886,0.7840626252849745,190932378094585.56,458325406373.2448
