latent_dim,test_loss,val_loss,test_mae_linear,train_samples,training_time
64,0.00046286297583719715,0.00046030751309444895,2.4623753504384195e+20,136000,325.87619733810425
96,0.00037498102619792917,0.00038862611177137296,1.893402486724918e+20,136000,369.0285120010376
128,0.0004388010302136536,0.0004539569395092258,3.3558089442966425e+20,136000,439.4615800380707
160,0.0005247863500699168,0.0004756934849865502,2.621302059652046e+20,136000,430.90337109565735
192,0.0003394750535790081,0.0003105062003214698,1.8408698827340828e+20,136000,475.4768388271332
