layer_width,num_layers,latent_dim,test_loss,val_loss,test_mae_linear,training_time
256,3,192,0.0005548966719288728,0.0004945227810821962,1.9855097962416203e+20,294.58347392082214
512,3,192,0.0003394750535790081,0.0003105062003214698,1.8408698827340828e+20,453.2051329612732
768,3,192,0.00038487174333567964,0.0003932205875116779,1.6088466674381174e+20,652.0994181632996
1024,3,192,0.00041714316603247426,0.00036162785340820847,1.6633607782991816e+20,774.0514237880707
256,4,192,0.0004674575038734474,0.0004998492718186753,2.177951038239859e+20,263.2444648742676
512,4,192,0.000480294763292477,0.00042094538093806477,1.780650098173233e+20,385.6120409965515
768,4,192,0.00034774941809700977,0.0003234301021848296,1.3547865288253584e+20,544.482264995575
1024,4,192,0.00043919032123085344,0.0004175109611423977,2.0632944439829358e+20,792.9377582073212
