species,MAE,R2,max_abundance,mean_abundance
N2,7.993757447398954e+20,0.788685509198125,5.248586957486575e+23,1.9729288638810518e+21
O2,7.526480449178374e+20,0.7542084803831302,6.108081689797226e+23,2.072800908391003e+21
C5,3.966330302830849e+20,0.8768133118644134,3.240941194518154e+23,1.2616815597123621e+21
H2,2.3723739815966196e+20,0.9244937493643655,3.343781737759347e+23,1.0801172703869568e+21
S2,1.4667345443231942e+20,0.8680693334239816,9.962993462778698e+22,5.673999444913282e+20
C1S2,1.424026319597237e+20,0.8860005439904822,5.006045927074376e+23,4.9006494188231695e+20
S7,1.2574218182745432e+20,0.8099138423102379,2.1293360693388695e+23,3.5294492047338865e+20
S8,1.2378490151525315e+20,0.7437578718628961,2.3670053181546567e+23,2.7676341244794044e+20
H2S1,8.75094143885409e+19,0.8890452980654024,1.5881709370195266e+23,3.120505339222792e+20
C4N2,8.695730478410606e+19,0.13827605623493022,1.90060862662252e+23,1.5977087941031733e+20
C1H4,7.414912627586297e+19,0.66706545350037,1.3012132989823876e+23,1.4926358354826068e+20
O2S1,7.352028351687946e+19,0.8867207267655598,1.6388913918372645e+23,2.4889339612103963e+20
S4,6.6120044925791085e+19,0.5277545734634567,8.833624486439707e+22,1.5385528598127762e+20
C1O2,6.411286733472843e+19,0.8089688996682682,1.6340832694804038e+23,1.8343975181062003e+20
S3,6.01074077480954e+19,0.5335869250332148,8.833624486439707e+22,1.6357291127550886e+20
C2H2,5.593586903512021e+19,0.8220894364256087,3.1141167962972776e+23,1.5805880404816026e+20
H2O1,5.486496452007611e+19,0.8784837678357916,1.0418000096544553e+23,1.9078176922154002e+20
C3H1,4.414698938422005e+19,0.9067917568992185,1.0717028712291232e+23,1.477910433273306e+20
O3S1,3.995679677357489e+19,0.4595798259196806,1.1844929521782331e+23,6.2848763292771566e+19
C1O1,3.2294928283471995e+19,0.9571762103128723,1.0789063320815924e+23,1.640581847040947e+20
e-,175495095834.23676,0.7893215005109347,309435019972088.0,546480427471.9989
